Time (s) Run #4,Geiger Counts (counts/sample) Run #4,Geiger Counts (counts/sample) Run #5,Geiger Counts (counts/sample) Run #6
2,29,33,37
4,36,35,32
6,30,30,34
8,25,29,26
10,38,33,29
12,26,35,26
14,47,28,32
16,34,32,21
18,34,42,27
20,30,36,24
22,25,36,37
24,35,47,25
26,38,42,30
28,27,34,32
30,32,43,37
32,30,36,33
34,30,23,30
36,36,33,34
38,39,34,35
40,24,45,34
42,33,26,51
44,36,25,37
46,25,40,34
48,34,29,41
50,39,39,23
52,40,32,43
54,37,39,26
56,39,32,30
58,46,31,27
60,37,36,29
62,39,30,28
64,35,41,32
66,34,31,24
68,30,33,23
70,30,33,30
72,33,46,29
74,29,35,29
76,39,43,52
78,30,39,31
80,35,21,37
82,24,27,38
84,30,26,24
86,30,32,35
88,31,32,30
90,35,39,28
92,35,37,24
94,36,31,34
96,39,31,26
98,37,36,33
100,32,43,32
102,34,23,34
104,31,33,40
106,41,30,36
108,34,33,31
110,25,29,31
112,32,28,25
114,36,34,33
116,31,37,25
118,33,31,28
120,45,38,31
122,36,26,29
124,34,36,37
126,36,33,31
128,35,29,36
130,33,36,30
132,34,18,28
134,32,26,27
136,33,29,29
138,40,34,35
140,28,29,26
142,33,26,30
144,36,39,34
146,30,30,41
148,29,31,32
150,41,29,38
152,29,35,34
154,29,44,42
156,24,29,31
158,38,37,29
160,42,34,36
162,34,32,38
164,30,24,37
166,25,35,27
168,27,25,36
170,33,34,36
172,39,31,37
174,27,25,35
176,45,34,35
178,34,27,21
180,39,32,29
182,33,38,35
184,29,25,16
186,34,30,31
188,39,34,38
190,34,32,35
192,41,36,39
194,32,24,35
196,34,43,30
198,28,31,31
200,36,33,26
202,26,42,41
204,31,22,33
206,26,22,34
208,19,38,30
210,25,34,39
212,23,29,27
214,40,31,34
216,33,33,26
218,29,42,29
220,37,33,20
222,37,30,29
224,38,29,42
226,28,29,37
228,23,32,35
230,38,30,32
232,28,24,27
234,25,31,24
236,26,29,25
238,33,36,39
240,37,21,24
242,29,25,32
244,35,29,27
246,37,33,28
248,38,30,24
250,31,24,27
252,30,37,30
254,39,31,41
256,37,30,32
258,33,32,30
260,33,22,32
262,32,34,30
264,24,36,27
266,32,34,34
268,44,26,30
270,34,30,38
272,36,30,29
274,36,29,33
276,37,30,35
278,37,36,33
280,37,40,17
282,38,27,34
284,30,32,22
286,33,37,36
288,38,36,29
290,38,32,29
292,37,38,36
294,32,28,27
296,33,28,20
298,45,32,30
300,37,38,44
